Nudel nach mediterraner Art, Gemuese / Salat, Obst;Fleisch- und Tomatenlasagne, Gemuese / Salat, Fruchtjogurth;Gulasch mit Polenta, Gemuese / Salat, Obst;Fish paniert mit Kartoffel, Gemuese / Salat, Kompott;Champignonschnitzel mit Reis, Gemuese / Salat, Kuchen
Pizzaiolaschnitzel mit Reis, Gemuese / Salat, Obst;Huehnerschenkel mit Pommes Frites, Gemuese / Salat, Obst;Nudel mit Meeresfruechte, Gemuese / Salat, Kuchen;Kaese- und Spinatknoedel, Gemuese / Salat, Himbeercreme;Gnocchi mit Tomatensosse, Gemuese / Salat, Obst
Tomatenlasagne, Gemuese / Salat, Obst;Nudel mit Thunfischsosse, Gemuese / Salat, Schokopudding;Wienerschnitzel mit Kartoffelsalat, Gemuese / Salat, Obstsalat;Kalbsgulasch mit Reis, Gemuese / Salat, Obst;Ravioli mit Kaesesosse, Gemuese / Salat, Buchteln
Truthahnbraten mit Kartoffeln, Gemuese / Salat, Jogurth mit Himbeeren;Fleischkrapflen mit Pueree, Gemuese / Salat, Obst;Farfalle mit Lachsfischsosse, Gemuese / Salat, Kuchen;Gnocchi mit Tomatensosse, Gemuese / Salat, Obst;Tomatenrisotto, Gemuese / Salat, Obst
Gemueseknoedel, Gemuese / Salat, Obst;Hirtennudel, Gemuese / Salat, Kuchen;Rindsbraten mit Spatzler, Gemuese / Salat, Fruchtjogurth;Wienerschnitzel mit Kartoffelsalat, Gemuese / Salat, Obst;Fisch von Rohr mit Rosmarienkartoffeln, Gemuese / Salat, Obstsalat
Huehnerbrust mit Kartoffeln, Gemuese / Salat, Schokopudding;Kalbsbraten mit Reis, Gemuese / Salat, Obstsalat;Fisch im Rohr mit Naturkartoffeln, Gemuese / Salat, Obstsalat;Nudel mit Kaese- und Tomatensosse, Gemuese / Salat, Kompott;Canneloni mit Tomatensosse, Gemuese / Salat, Obstsalat
